面积(㎡),总价,单价(元/㎡)
63.45,6900000.0,108747.0
56.73,4690000.0,82673.0
63.45,4390000.0,69189.0
69.12,5500000.0,79572.0
68.11,6300000.0,92498.0
92.2,8280000.0,89805.0
58.4,4900000.0,83904.0
151.8,12680000.0,83531.0
114.36,10800000.0,94439.0
42.4,3390000.0,79953.0
151.8,9660000.0,63636.0
66.91,4190000.0,62621.0
92.2,7200000.0,78092.0
58.7,4800000.0,81772.0
54.4,4490000.0,82537.0
44.7,3390000.0,75839.0
80.49,6900000.0,85725.0
80.96,6990000.0,86339.0
56.7,4600000.0,81129.0
81.61,6890000.0,84426.0
71.91,6280000.0,87332.0
61.15,5000000.0,81767.0
69.86,5280000.0,75580.0
67.9,6180000.0,91017.0
54.36,4200000.0,77263.0
62.48,5300000.0,84828.0
82.17,6900000.0,83973.0
41.5,3230000.0,77832.0
58.5,5380000.0,91966.0
122.11,8850000.0,72476.0
66.91,4580000.0,68450.0
179.8,11200000.0,62292.0
66.77,4260000.0,63802.0
171.3,11500000.0,67134.0
58.27,4190000.0,71907.0
67.37,7000000.0,103904.0
58.1,4950000.0,85198.0
179.8,11800000.0,65629.0
127.2,10800000.0,84906.0
212.98,19000000.0,89211.0
151.8,9500000.0,62583.0
40.35,3550000.0,87981.0
49.6,4070000.0,82057.0
127.2,12200000.0,95912.0
67.09,6100000.0,90923.0
67.9,6180000.0,91017.0
46.79,3650000.0,78009.0
66.85,5200000.0,77786.0
196.7,11790000.0,59939.0
33.32,4300000.0,129052.0
67.37,5500000.0,81639.0
53.04,3500000.0,65988.0
81.36,6850000.0,84194.0
55.5,5600000.0,100901.0
60.94,6800000.0,111586.0
38.3,3000000.0,78329.0
64.83,5500000.0,84838.0
65.5,5800000.0,88550.0
196.7,11790000.0,59939.0
46.12,3700000.0,80226.0
179.8,13000000.0,72303.0
97.1,8000000.0,82389.0
66.75,4900000.0,73409.0
92.2,8280000.0,89805.0
212.98,19000000.0,89211.0
92.78,7680000.0,82777.0
68.7,5050000.0,73509.0
127.2,12200000.0,95912.0
204.6,18300000.0,89443.0
66.6,6000000.0,90091.0
94.7,9000000.0,95037.0
62.48,5300000.0,84828.0
81.36,6850000.0,84194.0
53.13,4550000.0,85639.0
151.8,9500000.0,62583.0
46.79,3650000.0,78009.0
82.17,7100000.0,86407.0
41.9,3380000.0,80669.0
56.7,3900000.0,68784.0
53.04,3500000.0,65988.0
171.3,11500000.0,67134.0
67.09,4450000.0,66329.0
281.57,32000000.0,113649.0
67.37,5500000.0,81639.0
94.7,7500000.0,79198.0
67.9,6790000.0,100000.0
58.1,4950000.0,85198.0
82.17,6900000.0,83973.0
41.9,2990000.0,71361.0
81.4,8500000.0,104423.0
66.77,4800000.0,71889.0
69.86,5280000.0,75580.0
56.7,4580000.0,80777.0
65.0,4300000.0,66154.0
63.45,4200000.0,66194.0
63.43,5800000.0,91440.0
127.2,10800000.0,84906.0
67.09,6100000.0,90923.0
33.32,4300000.0,129052.0
127.5,10000000.0,78431.0
60.94,6800000.0,111586.0
196.7,12000000.0,61007.0
26.8,4100000.0,152986.0
49.6,4070000.0,82057.0
51.6,3700000.0,71706.0
53.04,3580000.0,67497.0
40.35,3550000.0,87981.0
53.76,4400000.0,81845.0
56.7,4600000.0,81129.0
58.83,3900000.0,66293.0
113.31,9200000.0,81194.0
53.76,4400000.0,81846.0
196.7,14400000.0,73208.0
60.29,4050000.0,67175.0
83.76,8900000.0,106256.0
46.12,3700000.0,80226.0
58.83,3900000.0,66293.0
127.2,10800000.0,84906.0
55.5,5600000.0,100901.0
66.77,4800000.0,71889.0
67.9,6790000.0,100000.0
50.91,4160000.0,81713.0
67.9,6180000.0,91017.0
60.29,4500000.0,74640.0
58.1,4950000.0,85198.0
44.8,2400000.0,53570.0
